-2.500E+01	-3.00E-09
-2.502E+01	-2.99E-09
-2.504E+01	-2.98E-09
-2.506E+01	-2.98E-09
-2.508E+01	-2.95E-09
-2.510E+01	-2.98E-09
-2.512E+01	-2.97E-09
-2.514E+01	-2.97E-09
-2.516E+01	-2.98E-09
-2.518E+01	-2.98E-09
-2.520E+01	-2.97E-09
-2.522E+01	-2.98E-09
-2.524E+01	-2.98E-09
-2.526E+01	-2.98E-09
-2.528E+01	-2.98E-09
-2.530E+01	-2.98E-09
-2.532E+01	-2.99E-09
-2.534E+01	-2.99E-09
-2.536E+01	-2.99E-09
-2.538E+01	-3.00E-09
-2.540E+01	-3.00E-09
-2.542E+01	-3.00E-09
-2.544E+01	-3.00E-09
-2.546E+01	-3.00E-09
-2.548E+01	-3.00E-09
-2.550E+01	-3.00E-09
-2.552E+01	-3.00E-09
-2.554E+01	-3.00E-09
-2.556E+01	-3.01E-09
-2.558E+01	-3.01E-09
-2.560E+01	-3.01E-09
-2.562E+01	-3.01E-09
-2.564E+01	-3.02E-09
-2.566E+01	-3.01E-09
-2.568E+01	-3.02E-09
-2.570E+01	-3.02E-09
-2.572E+01	-3.02E-09
-2.574E+01	-3.03E-09
-2.576E+01	-3.03E-09
-2.578E+01	-3.02E-09
-2.580E+01	-3.03E-09
-2.582E+01	-3.03E-09
-2.584E+01	-3.03E-09
-2.586E+01	-3.03E-09
-2.588E+01	-3.03E-09
-2.590E+01	-3.04E-09
-2.592E+01	-3.04E-09
-2.594E+01	-3.04E-09
-2.596E+01	-3.04E-09
-2.598E+01	-3.05E-09
-2.600E+01	-3.05E-09
-2.602E+01	-3.05E-09
-2.604E+01	-3.05E-09
-2.606E+01	-3.05E-09
-2.608E+01	-3.06E-09
-2.610E+01	-3.06E-09
-2.612E+01	-3.06E-09
-2.614E+01	-3.06E-09
-2.616E+01	-3.06E-09
-2.618E+01	-3.06E-09
-2.620E+01	-3.06E-09
-2.622E+01	-3.07E-09
-2.624E+01	-3.07E-09
-2.626E+01	-3.07E-09
-2.628E+01	-3.08E-09
-2.630E+01	-3.08E-09
-2.632E+01	-3.08E-09
-2.634E+01	-3.09E-09
-2.636E+01	-3.09E-09
-2.638E+01	-3.09E-09
-2.640E+01	-3.09E-09
-2.642E+01	-3.10E-09
-2.644E+01	-3.10E-09
-2.646E+01	-3.10E-09
-2.648E+01	-3.10E-09
-2.650E+01	-3.10E-09
-2.652E+01	-3.11E-09
-2.654E+01	-3.11E-09
-2.656E+01	-3.12E-09
-2.658E+01	-3.13E-09
-2.660E+01	-3.14E-09
-2.662E+01	-3.15E-09
-2.664E+01	-3.17E-09
-2.666E+01	-3.20E-09
-2.668E+01	-3.24E-09
-2.670E+01	-3.31E-09
-2.672E+01	-3.40E-09
-2.674E+01	-3.52E-09
-2.676E+01	-3.67E-09
-2.678E+01	-3.91E-09
-2.680E+01	-4.13E-09
-2.682E+01	-4.41E-09
-2.684E+01	-4.72E-09
-2.686E+01	-4.95E-09
-2.688E+01	-5.41E-09
-2.690E+01	-5.86E-09
-2.692E+01	-6.18E-09
-2.694E+01	-6.65E-09
-2.696E+01	-7.36E-09
-2.698E+01	-7.70E-09
-2.700E+01	-8.22E-09
-2.702E+01	-8.49E-09
-2.704E+01	-9.49E-09
-2.706E+01	-1.00E-08
-2.708E+01	-1.05E-08
-2.710E+01	-1.12E-08
-2.712E+01	-1.21E-08
-2.714E+01	-1.28E-08
-2.716E+01	-1.33E-08
-2.718E+01	-1.43E-08
-2.720E+01	-1.51E-08
-2.722E+01	-1.59E-08
-2.724E+01	-1.69E-08
-2.726E+01	-1.76E-08
-2.728E+01	-1.81E-08
-2.730E+01	-1.97E-08
-2.732E+01	-2.06E-08
-2.734E+01	-2.13E-08
-2.736E+01	-2.23E-08
-2.738E+01	-2.36E-08
-2.740E+01	-2.50E-08
-2.742E+01	-2.60E-08
-2.744E+01	-2.73E-08
-2.746E+01	-2.85E-08
-2.748E+01	-3.01E-08
-2.750E+01	-3.09E-08
-2.752E+01	-3.25E-08
-2.754E+01	-3.37E-08
-2.756E+01	-3.48E-08
-2.758E+01	-3.59E-08
-2.760E+01	-3.77E-08
-2.762E+01	-3.91E-08
-2.764E+01	-4.11E-08
-2.766E+01	-4.12E-08
-2.768E+01	-4.34E-08
-2.770E+01	-4.35E-08
-2.772E+01	-4.52E-08
-2.774E+01	-4.83E-08
-2.776E+01	-4.73E-08
-2.778E+01	-4.95E-08
-2.780E+01	-5.28E-08
-2.782E+01	-5.53E-08
-2.784E+01	-5.60E-08
-2.786E+01	-5.88E-08
-2.788E+01	-6.04E-08
-2.790E+01	-6.13E-08
-2.792E+01	-6.49E-08
-2.794E+01	-6.67E-08
-2.796E+01	-6.66E-08
-2.798E+01	-7.02E-08
-2.800E+01	-7.09E-08
